#STABLE_TRANSFER
#Time	#Average	#Lower		#Upper	
10	89.5	82.0393531451	96.9606468549
20	89.5666666667	82.3271392335	96.8061940999
30	93.6333333333	86.7510125584	100.5156541083
40	88.0666666667	80.8141897226	95.3191436107
50	93.3333333333	87.7678874489	98.8987792178
60	88.7	80.0808399161	97.3191600839
70	90.7666666667	84.5995393723	96.9337939611
80	97.7666666667	89.2767913317	106.2565420016
90	89.3	82.9553780508	95.6446219492
100	82.3	75.2324009767	89.3675990233







#RANDOM
10	99.9666666667	92.2347136824	107.6986196509
20	91.7666666667	83.0854678124	100.447865521
30	90.4666666667	83.9723796683	96.960953665
40	91.0333333333	83.1795559753	98.8871106913
50	95.1	85.9114213124	104.2885786876
60	91.1	83.6864954911	98.5135045089
70	87.6	79.8719790105	95.3280209895
80	95.1666666667	86.5005367275	103.8327966058
90	85.1	78.37219792	91.82780208
100	89.8	81.8036329168	97.7963670832







#CENTRALIZED
10	344.3666666667	336.1464311395	352.5869021939
20	345.8	336.5105534802	355.0894465198
30	340.4666666667	331.3604480546	349.5728852787
40	341.0333333333	332.3517275741	349.7149390926
50	351.6	342.8524647333	360.3475352667
60	342	334.3596690208	349.6403309792
70	335.2333333333	327.1456650287	343.3210016379
80	339.0666666667	331.3230437222	346.8102896112
90	343.2333333333	335.0820367165	351.3846299502
100	345.3333333333	338.9097353633	351.7569313034

