#STABLE_TRANSFER
#Time	#Average	#Lower		#Upper	
10	27.84359667	27.52860953	28.1585838
20	27.83652667	27.47652703	28.1965263
30	27.62224	27.30641993	27.93806007
40	27.91648	27.54030456	28.29265544
50	27.85721	27.47543234	28.23898766
60	27.87317667	27.54900908	28.19734425
70	27.89491667	27.57156533	28.218268
80	27.97836333	27.63579218	28.32093449
90	27.74282667	27.43510568	28.05054765
100	27.86083	27.56521066	28.15644934





#ONE_CONTROLLER
10	62.1222	61.6178930287	62.6265069713
20	62.0367733333	61.6594964939	62.4140501727
30	62.0824633333	61.6213749585	62.5435517082
40	62.1946533333	61.7957727878	62.5935338789
50	62.33135	61.8832763273	62.7794236727
60	62.1788766667	61.6809771757	62.6767761577
70	61.8295933333	61.3755010111	62.2836856555
80	62.1225933333	61.6917664019	62.5534202647
90	61.9547766667	61.4830255866	62.4265277467
100	61.9276933333	61.4693275537	62.3860591129







#RANDOM
10	41.98353333	40.83402572	43.13304095
20	41.97022	40.76799589	43.17244411
30	42.19027667	41.30494677	43.07560656
40	41.82992667	40.67454494	42.98530839
50	41.63618333	40.57167268	42.70069399
60	40.51248333	39.55295593	41.47201074
70	41.57396	40.53946049	42.60845951
80	41.78335	40.58795504	42.97874496
90	41.76679	40.71446027	42.81911973
100	41.28875333	40.33944912	42.23805755






#CENTRALIZED
10	41.78167	40.82940274	42.73393726
20	41.40696333	40.45409226	42.35983441
30	41.62470667	40.85654177	42.39287156
40	41.96010333	40.77520837	43.14499829
50	42.42197	41.55284739	43.29109261
60	42.06333333	41.08323049	43.04343618
70	41.73044667	40.88344099	42.57745234
80	41.60803	40.65231197	42.56374803
90	41.12197	40.09866696	42.14527304
100	41.63068667	40.52419858	42.73717475
