#STABLE_TRANSFER
#Time	#Average	#Lower		#Upper	
10	4076.4586666667	3711.4855670035	4441.4317663299
20	4004.722	3589.130978838	4420.313021162
30	3982.0263333333	3591.0836316457	4372.9690350209
40	3904.6146666667	3536.0558347551	4273.1734985783
50	3846.005	3548.663444783	4143.346555217
60	4073.473	3719.717890162	4427.2281098381
70	3913.1493333333	3550.1830653715	4276.1156012951
80	4062.5576666667	3669.5213205857	4455.5940127476
90	3887.6836666667	3586.4729973659	4188.8943359674
100	3948.6683333333	3688.6384766534	4208.6981900133







#RANDOM
10	4544.1386666667	4194.4007765503	4893.8765567831
20	4149.6783333333	3915.0957864541	4384.2608802126
30	4470.8223333333	4102.6808783897	4838.963788277
40	4255.0773333333	3882.0127278035	4628.1419388632
50	4501.8073333333	4089.9264003306	4913.688266336
60	4064.056	3834.9939546508	4293.1180453492
70	4583.5196666667	4235.4944789866	4931.5448543467
80	4592.159	4170.2216702791	5014.0963297209
90	4310.9603333333	3904.3555426636	4717.5651240031
100	4429.2103333333	4027.9884004042	4830.4322662625







#CENTRALIZED
10	21131.85	19567.2734520187	22696.4265479813
20	22067.4166666667	21205.6695573976	22929.1637759358
30	21036.3166666667	20281.1566694112	21791.4766639221
40	21581.21	20826.6618998374	22335.7581001625
50	21461.7833333333	20529.2169236474	22394.3497430193
60	21039.7233333333	20160.4130979195	21919.0335687471
70	21674.53	20858.2479571	22490.8120429
80	20390.75	19524.8596716522	21256.6403283478
90	21726.0633333333	21128.9839292199	22323.1427374467
100	21307.2966666667	20405.4701643966	22209.1231689367

