#STABLE_TRANSFER
#SS	#Average	#Lower		#Upper	
12	4363.4056666667	4252.0386220576	4474.7727112757
15	3981.479	3895.6015369175	4067.3564630825
18	3742.534	3663.9469762721	3821.1210237279
21	3421.354137931	3322.4457189855	3520.2625568766
24	3345.013	3267.8273376648	3422.1986623352







#RANDOM
12	4369.1143333333	4223.9813734848	4514.2472931818
15	4001.8056666667	3879.2810164608	4124.3303168726
18	3577.84	3468.4186987395	3687.2613012605
21	3569.969	3449.0700102191	3690.867989781
24	3291.845	3198.0331977808	3385.6568022193









#CENTRALIZED
12	21408.1586206896	21130.3809027254	21685.9363386539
15	21247.4266666667	21038.1201133216	21456.7332200117
18	21464.26	21235.813167505	21692.706832495
21	21011.11	20796.0291939674	21226.1908060326
24	21275.5833333333	20945.0430108453	21606.1236558213

