#STABLE_TRANSFER
#SS	#Average	#Lower		#Upper	
12	95.9966666667	93.9366565117	98.0566768216
15	86.9633333333	84.9667394569	88.9599272098
18	81.5566666667	79.9666394979	83.1466938355
21	76.37	74.0837231137	78.6562768863
24	73.4733333333	71.8052888902	75.1413777765








#RANDOM
12	97.42	94.399394745	100.440605255
15	88.3666666667	86.479261955	90.2540713783
18	80.6933333333	78.63412822	82.7525384466
21	77.46	75.3776022432	79.5423977568
24	71.6766666667	69.9791350477	73.3741982857







#CENTRALIZED
12	500.8966666667	497.0875733556	504.7057599777
15	497.8466666667	495.5421036868	500.1512296465
18	495.6033333333	491.9030464157	499.303620251
21	501.02	498.3580335786	503.6819664214
24	497.37	494.6238421129	500.1161578871

